VPNummer	Version	l_r	Wdh	StimID	Bild	Stichwort1	Stichwort2	Bed	bek_unbek	BedTrigger	Taste	Tastencode	RT
VP_10	2	l	211	4	Unkraut-Jaetzange.bmp	Uhr	mit Wärme betreiben	falsch	unbekannt	222	2	202	2804	
VP_10	2	l	211	109	ziegelformer.bmp	Ziegelsteine	formen	richtig	unbekannt	221	1	201	1964	
VP_10	2	l	211	121	kasse.bmp				bekannt	230	0	0	0	
VP_10	2	l	211	121	sichel.bmp				bekannt	230	1	201	275	
VP_10	2	l	211	27	Korngarbengreifer.bmp	Korngarbe	greifen	richtig	unbekannt	221	4	204	1667	
VP_10	2	l	211	23	Bandagen-Roller.bmp	Bandage	rollen	richtig	unbekannt	221	3	203	2520	
VP_10	2	l	211	66	Buecher-Offenhalter.bmp	Sprengstoffexplosion	auslösen	falsch	unbekannt	222	3	203	2191	
VP_10	2	l	211	102	Handzentrifuge.bmp	Lieferungen	abzählen	falsch	unbekannt	222	0	0	0	
VP_10	2	l	211	44	Nussoelpressmaschine.bmp	Zeichen	einbrennen	falsch	unbekannt	222	3	203	2943	
VP_10	2	l	211	71	Stampf-Fiedel.bmp	Goldmünzen	wiegen	falsch	unbekannt	222	3	203	2007	
VP_10	2	l	211	84	pferdeschuh.bmp	Pferd	im Moor laufen	richtig	unbekannt	221	4	204	2016	
VP_10	2	l	211	57	Nussknacker.bmp	Nüsse	aufbrechen	richtig	unbekannt	221	2	202	1663	
VP_10	2	l	211	121	kopfhoerer.bmp				bekannt	230	1	201	921	
VP_10	2	l	211	121	nagelfeile.bmp				bekannt	230	1	201	752	
VP_10	2	l	211	121	tesaroller.bmp				bekannt	230	1	201	675	
VP_10	2	l	211	74	Brenneisen.bmp	Luftdruck	messen	falsch	unbekannt	222	4	204	1518	
VP_10	2	l	211	25	cork_inserter.bmp	Flaschenkorken	einführen	richtig	unbekannt	221	1	201	1288	
VP_10	2	l	211	121	dusche.bmp				bekannt	230	1	201	985	
VP_10	2	l	211	121	herd.bmp				bekannt	230	1	201	662	
