VPNummer	Version	l_r	Wdh	StimID	Bild	Stichwort1	Stichwort2	Bed	bek_unbek	BedTrigger	Taste	Tastencode	RT
VP_15	1	r	211	121	brecheisen.bmp				bekannt	230	2	203	1526	
VP_15	1	r	211	121	klobuerste.bmp				bekannt	230	4	201	1007	
VP_15	1	r	211	121	schraubenzieher.bmp				bekannt	230	4	201	886	
VP_15	1	r	211	121	sparschwein.bmp				bekannt	230	4	201	800	
VP_15	1	r	211	39	Thermopneumatische_Uhr.bmp	Uhr	mit Wärme betreiben	richtig	unbekannt	221	1	204	1151	
VP_15	1	r	211	68	Roemisches_Senklot.bmp	Schnurlot	absenken	richtig	unbekannt	221	2	203	983	
VP_15	1	r	211	121	uhr.bmp				bekannt	230	4	201	563	
VP_15	1	r	211	105	dieselstandmessgeraet.bmp	Tankfüllstand	messen	richtig	unbekannt	221	1	204	1125	
VP_15	1	r	211	47	filmrolle.bmp	Mund	offen halten	falsch	unbekannt	222	2	203	947	
VP_15	1	r	211	121	saege.bmp				bekannt	230	4	201	748	
VP_15	1	r	211	95	Fischwaage.bmp	Fisch	wiegen	richtig	unbekannt	221	1	204	1161	
VP_15	1	r	211	121	fernglas.bmp				bekannt	230	4	201	921	
VP_15	1	r	211	121	drucker.bmp				bekannt	230	4	201	767	
VP_15	1	r	211	121	schere.bmp				bekannt	230	4	201	585	
VP_15	1	r	211	121	feuerzeug.bmp				bekannt	230	4	201	614	
VP_15	1	r	211	121	fahrrad.bmp				bekannt	230	4	201	550	
VP_15	1	r	211	6	Goldmuenzen-Waage.bmp	Goldmünzen	wiegen	richtig	unbekannt	221	2	203	1270	
VP_15	1	r	211	121	waschmaschine.bmp				bekannt	230	4	201	786	
VP_15	1	r	211	4	Unkraut-Jaetzange.bmp	Unkraut	jäten	richtig	unbekannt	221	1	204	1369	
VP_15	1	r	211	84	pferdeschuh.bmp	Luft	abpumpen	falsch	unbekannt	222	4	201	1861	
VP_15	1	r	211	63	pleximeter.bmp	Körper	untersuchen	richtig	unbekannt	221	2	203	1663	
VP_15	1	r	211	78	Messerschleifer.bmp	Schritte	vergrößern	falsch	unbekannt	222	2	203	1569	
VP_15	1	r	211	121	waschbecken.bmp				bekannt	230	4	201	695	
VP_15	1	r	211	121	handy.bmp				bekannt	230	4	201	592	
VP_15	1	r	211	71	Stampf-Fiedel.bmp	Musikgerät	stampfen	richtig	unbekannt	221	1	204	1621	
VP_15	1	r	211	121	kaffeemaschine.bmp				bekannt	230	4	201	759	
