VPNummer	Version	l_r	Wdh	StimID	Bild	Stichwort1	Stichwort2	Bed	bek_unbek	BedTrigger	Taste	Tastencode	RT
VP_04	2	r	211	121	sieb.bmp				bekannt	230	4	201	813	
VP_04	2	r	211	69	filar_micrometer.bmp	Schnurlot	absenken	falsch	unbekannt	222	2	203	995	
VP_04	2	r	211	45	rasierklingenschaerfer.bmp	Kurven	malen	falsch	unbekannt	222	2	203	1123	
VP_04	2	r	211	29	4erbohrer.bmp	Löcher	bohren	richtig	unbekannt	221	4	201	964	
VP_04	2	r	211	108	schluesselloch-cutter.bmp	Schlüsselloch	stanzen	richtig	unbekannt	221	2	203	845	
VP_04	2	r	211	121	lampe.bmp				bekannt	230	4	201	716	
VP_04	2	r	211	104	ninjasterne.bmp	elektrische Spannung	prüfen	falsch	unbekannt	222	2	203	704	
VP_04	2	r	211	78	Messerschleifer.bmp	Messer	schleifen	richtig	unbekannt	221	3	202	945	
VP_04	2	r	211	121	angel.bmp				bekannt	230	4	201	678	
VP_04	2	r	211	7	Knie-Schraubstock.bmp	Buchstaben	tippen	falsch	unbekannt	222	2	203	637	
VP_04	2	r	211	121	buegel.bmp				bekannt	230	4	201	693	
VP_04	2	r	211	12	trimmdichgeraet.bmp	Buch	offen halten	falsch	unbekannt	222	1	204	727	
VP_04	2	r	211	46	plattenheber.bmp	heiße Platten	anheben	richtig	unbekannt	221	1	204	959	
VP_04	2	r	211	68	Roemisches_Senklot.bmp	Korken	formen	falsch	unbekannt	222	2	203	814	
VP_04	2	r	211	121	kopfhoerer.bmp				bekannt	230	4	201	794	
VP_04	2	r	211	120	loetlampe.bmp	Brenner	löten	richtig	unbekannt	221	2	203	699	
VP_04	2	r	211	36	antizaungurt.bmp	Radiofrequenz	einstellen	falsch	unbekannt	222	1	204	548	
VP_04	2	r	211	98	Mechanische_Erektionshilfe.bmp	Waffe	werfen	falsch	unbekannt	222	1	204	948	
VP_04	2	r	211	121	hacke.bmp				bekannt	230	4	201	571	
VP_04	2	r	211	4	Unkraut-Jaetzange.bmp	Uhr	mit Wärme betreiben	falsch	unbekannt	222	3	202	714	
VP_04	2	r	211	121	regenschirm.bmp				bekannt	230	4	201	427	
VP_04	2	r	211	121	milchschaeumer.bmp				bekannt	230	2	203	499	
VP_04	2	r	211	23	Bandagen-Roller.bmp	Bandage	rollen	richtig	unbekannt	221	1	204	665	
VP_04	2	r	211	53	toaster.bmp	Toastbrot	rösten	richtig	unbekannt	221	3	202	752	
VP_04	2	r	211	31	Kurvenmalgeraet.bmp	Nussöl	pressen	falsch	unbekannt	222	2	203	777	
VP_04	2	r	211	121	telefon.bmp				bekannt	230	4	201	529	
