VPNummer	Version	l_r	Wdh	StimID	Bild	Stichwort1	Stichwort2	Bed	bek_unbek	BedTrigger	Taste	Tastencode	RT
VP_19	1	r	211	121	mikrowelle.bmp				bekannt	230	4	201	1493	
VP_19	1	r	211	46	plattenheber.bmp	Kleidung	im Eimer waschen	falsch	unbekannt	222	1	204	1432	
VP_19	1	r	211	121	diabolo.bmp				bekannt	230	2	203	2365	
VP_19	1	r	211	19	Brikettpresse.bmp	Narkosemittel	abgeben	falsch	unbekannt	222	1	204	766	
VP_19	1	r	211	121	maulschluessel.bmp				bekannt	230	4	201	1168	
VP_19	1	r	211	12	trimmdichgeraet.bmp	Körper	trainieren	richtig	unbekannt	221	1	204	1785	
VP_19	1	r	211	115	wagenradschloss.bmp	Angelschnur	kurbeln	falsch	unbekannt	222	1	204	1445	
VP_19	1	r	211	121	grill.bmp				bekannt	230	4	201	1126	
VP_19	1	r	211	99	heliotrop.bmp	Streckenmaß	Sonnenlicht nutzen	richtig	unbekannt	221	1	204	1161	
VP_19	1	r	211	121	zange.bmp				bekannt	230	4	201	2216	
VP_19	1	r	211	121	reibe.bmp				bekannt	230	4	201	893	
VP_19	1	r	211	90	elektroschockspiel.bmp	Weinfass	Loch einschlagen	falsch	unbekannt	222	1	204	1150	
VP_19	1	r	211	38	Flaschentrockner.bmp	Flaschen	trocknen	richtig	unbekannt	221	2	203	1554	
VP_19	1	r	211	10	schreibmaschine.bmp	Buchstaben	tippen	richtig	unbekannt	221	1	204	2479	
VP_19	1	r	211	93	Kuenstliches Herz.bmp	Herz	durch Maschine ersetzen	richtig	unbekannt	221	1	204	869	
VP_19	1	r	211	121	zirkel.bmp				bekannt	230	4	201	1971	
VP_19	1	r	211	121	korkenzieher.bmp				bekannt	230	4	201	1953	
VP_19	1	r	211	72	schneekette.bmp	Schuhe	auf Eis laufen	richtig	unbekannt	221	1	204	1930	
VP_19	1	r	211	121	nudelholz.bmp				bekannt	230	4	201	1540	
VP_19	1	r	211	103	Kartoffelstampfer.bmp	Kartoffeln	stampfen	richtig	unbekannt	221	1	204	1870	
VP_19	1	r	211	44	Nussoelpressmaschine.bmp	Nussöl	pressen	richtig	unbekannt	221	1	204	791	
VP_19	1	r	211	121	saege.bmp				bekannt	230	3	202	1457	
VP_19	1	r	211	121	handruehrgeraet.bmp				bekannt	230	4	201	1707	
VP_19	1	r	211	65	drahtbieger.bmp	Draht	wickeln	richtig	unbekannt	221	1	204	967	
