VPNummer	Version	l_r	Wdh	StimID	Bild	Stichwort1	Stichwort2	Bed	bek_unbek	BedTrigger	Taste	Tastencode	RT
VP_22	2	l	211	121	kamm.bmp				bekannt	230	1	201	1014	
VP_22	2	l	211	121	dosenoeffner.bmp				bekannt	230	1	201	1160	
VP_22	2	l	211	104	ninjasterne.bmp	elektrische Spannung	prüfen	falsch	unbekannt	222	3	203	1396	
VP_22	2	l	211	121	grill.bmp				bekannt	230	1	201	758	
VP_22	2	l	211	121	pinzette.bmp				bekannt	230	1	201	1261	
VP_22	2	l	211	121	mikrowelle.bmp				bekannt	230	1	201	1184	
VP_22	2	l	211	121	buegel.bmp				bekannt	230	1	201	681	
VP_22	2	l	211	121	waschmaschine.bmp				bekannt	230	1	201	616	
VP_22	2	l	211	121	klavier.bmp				bekannt	230	1	201	621	
VP_22	2	l	211	97	Korkenpresse_2.bmp	Sternenbilder	vermessen	falsch	unbekannt	222	2	202	1969	
VP_22	2	l	211	121	eierschneider.bmp				bekannt	230	3	203	1157	
VP_22	2	l	211	17	grammophonnadel.bmp	Schallplatte	abtasten	richtig	unbekannt	221	4	204	1489	
VP_22	2	l	211	51	dampfzerstaeuber.bmp	Dampf	zerstäuben	richtig	unbekannt	221	4	204	1776	
VP_22	2	l	211	48	Flammenwerfer-Aufsatz.bmp	Waffe	entflammen	richtig	unbekannt	221	3	203	2264	
VP_22	2	l	211	109	ziegelformer.bmp	Ziegelsteine	formen	richtig	unbekannt	221	3	203	1606	
VP_22	2	l	211	36	antizaungurt.bmp	Radiofrequenz	einstellen	falsch	unbekannt	222	3	203	2031	
VP_22	2	l	211	96	kerzenloescher.bmp	Körper	trainieren	falsch	unbekannt	222	4	204	1510	
VP_22	2	l	211	121	diabolo.bmp				bekannt	230	1	201	959	
VP_22	2	l	211	4	Unkraut-Jaetzange.bmp	Uhr	mit Wärme betreiben	falsch	unbekannt	222	3	203	1971	
